feature,importance
return_lag_3,0.15668808472877122
sma_7_ratio,0.15617581268752564
volume_zscore_30d,0.10130409878262243
return_lag_7,0.09169469824141115
sma_14_ratio,0.08230893200456428
log_return_1d,0.08032660683494187
intraday_return,0.07808171151557093
ema_12_ratio,0.054544140595006285
volatility_7d,0.04946456859237763
log_close,0.04764791483957728
return_lag_1,0.04217491536285799
day_sin,0.033389270421588194
volatility_30d,0.00918800141905523
high_low_range,0.008877911636578863
day_cos,0.004736180742965006
return_lag_2,0.003397151594586016
ema_26_ratio,0.0
sma_30_ratio,0.0
volatility_14d,0.0
macd_ratio,0.0
rsi_14,0.0
volume_change_1d,0.0
